Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
CTSC,"DPP1, PALS, PLS",ENSG00000109861,Cathepsin C,11,88293592-88337787,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB025364, HPA066610, HPA068434",Enhanced,NA,Supported,Vesicles,"Liver cancer:9.30e-5 (unfavourable), Renal cancer:4.80e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,lung: 390.4,Expressed in all,NA,NA
CTSH,"ACC-4, ACC-5, ACC4, ACC5, CPSB",ENSG00000103811,Cathepsin H,15,78921058-78949574,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB000458, HPA003524",Enhanced,NA,Supported,Vesicles<br>Cytosol<br>Cytoplasmic bodies,Endometrial cancer:6.90e-4 (favourable),Expressed in all,Expressed in all,NA,NA,lung: 570.6,Cell line enhanced,NA,CAPAN-2: 219.5;HaCaT: 161.7;RT4: 558.6
CTSK,"CTSO, CTSO2, PKND, PYCD",ENSG00000143387,Cathepsin K,1,150796208-150808323,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA050346,NA,NA,Supported,Vesicles,Renal cancer:7.12e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,"cervix, uterine: 575.0",Group enriched,6,ASC diff: 1592.3;ASC TERT1: 590.6;BJ hTERT+: 1576.7
CTSS,NA,ENSG00000163131,Cathepsin S,1,150730196-150765957,"Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB000460, HPA002988",Supported,NA,Approved,Vesicles,NA,Expressed in all,Expressed in all,NA,NA,spleen: 374.8,Cell line enhanced,NA,HMC-1: 238.0;U-698: 410.8
CTSZ,CTSX,ENSG00000101160,Cathepsin Z,20,58995185-59007247,"Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB025114, HPA049876, HPA053504",Supported,NA,Supported,Vesicles,Renal cancer:5.72e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,lung: 476.8,Cell line enhanced,NA,fHDF/TERT166: 693.2
CUZD1,"ERG-1, UO-44",ENSG00000138161,CUB and zona pellucida like domains 1,10,122832149-122850793,Predicted membrane proteins,Evidence at protein level,"HPA068479, HPA068660, HPA074117",Enhanced,NA,Approved,Nucleoli<br>Vesicles,NA,Tissue enriched,Tissue enriched,173,pancreas: 380.6,testis: 2.1,Mixed,NA,NA
CXCL16,"CXCLG16, SR-PSOX, SRPSOX",ENSG00000161921,C-X-C motif chemokine ligand 16,17,4733526-4739922,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA053253, HPA066315",Approved,NA,Approved,Golgi apparatus<br>Vesicles,NA,Expressed in all,Mixed,NA,NA,lung: 106.0,Cell line enhanced,NA,A-431: 84.5;CACO-2: 54.2;HaCaT: 93.1
CXorf21,FLJ11577,ENSG00000120280,Chromosome X open reading frame 21,X,30558824-30577844,Predicted intracellular proteins,Evidence at protein level,HPA001185,Uncertain,NA,Approved,Nucleoplasm<br>Vesicles,NA,Mixed,Mixed,NA,NA,appendix: 14.4,Cell line enriched,6,THP-1: 107.8
CYB5A,CYB5,ENSG00000166347,Cytochrome b5 type A,18,74250847-74292016,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB006333, HPA047548, HPA058547",Enhanced,NA,Approved,Vesicles<br>Cytosol,"Liver cancer:4.15e-4 (favourable), Colorectal cancer:5.23e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,liver: 1260.1,Cell line enhanced,NA,ASC diff: 766.9
CYP27C1,FLJ16008,ENSG00000186684,Cytochrome P450 family 27 subfamily C member 1,2,127184120-127220078,Predicted intracellular proteins,Evidence at protein level,"HPA062460, HPA068731",NA,NA,Supported,Vesicles,NA,Mixed,Tissue enhanced,NA,skin: 6.8,"cervix, uterine: 2.4",Cell line enhanced,NA,HDLM-2: 13.5;TIME: 11.6;U-138 MG: 13.8
CYP2U1,SPG49,ENSG00000155016,Cytochrome P450 family 2 subfamily U member 1,4,107931369-107953457,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,"HPA041622, HPA046754, HPA064827",Uncertain,NA,Approved,Nucleoplasm<br>Golgi apparatus<br>Vesicles,"Renal cancer:2.75e-5 (favourable), Stomach cancer:6.97e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,prostate: 15.7,Mixed,NA,NA
CYP4B1,NA,ENSG00000142973,Cytochrome P450 family 4 subfamily B member 1,1,46757838-46819413,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA004331,Approved,NA,Supported,Vesicles,Cervical cancer:5.99e-4 (favourable),Tissue enhanced,Tissue enhanced,NA,lung: 382.2,fallopian tube: 79.0,Cell line enriched,9,RT4: 234.9
CYSRT1,"C9orf169, MGC59937",ENSG00000197191,Cysteine rich tail 1,9,137224635-137226311,Predicted intracellular proteins,Evidence at protein level,"HPA021883, HPA021886",Approved,NA,Approved,Nuclear speckles<br>Vesicles<br>Midbody,NA,Expressed in all,Tissue enhanced,NA,esophagus: 45.6;skin: 12.2,tonsil: 6.3,Cell line enhanced,NA,A-431: 11.7;CAPAN-2: 14.5;HaCaT: 16.3;MCF7: 20.0
DAAM2,KIAA0381,ENSG00000146122,Dishevelled associated activator of morphogenesis 2,6,39792298-39904877,Predicted intracellular proteins,Evidence at protein level,"HPA051300, HPA054630",Approved,NA,Supported,Nucleoplasm<br>Vesicles<br>Cytosol,Renal cancer:2.79e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,cerebral cortex: 110.8,Cell line enhanced,NA,HSkMC: 39.9;LHCN-M2: 46.3;SK-MEL-30: 54.3;WM-115: 26.5
DAB1,NA,ENSG00000173406,"DAB1, reelin adaptor protein",1,56994778-58546734,Predicted intracellular proteins,Evidence at protein level,"CAB032329, HPA052033, HPA067495",Enhanced,NA,Supported,Vesicles,NA,Mixed,Tissue enhanced,NA,duodenum: 15.9;seminal vesicle: 13.8;small intestine: 24.8,prostate: 6.4,Cell line enhanced,NA,fHDF/TERT166: 41.8;HeLa: 12.9;NTERA-2: 23.4;RT4: 25.5;WM-115: 26.3
DACH1,DACH,ENSG00000276644,Dachshund family transcription factor 1,13,71437966-71867192,Predicted intracellular proteins,Evidence at protein level,HPA012672,Approved,NA,Supported,Nucleoplasm<br>Vesicles,NA,Mixed,Mixed,NA,NA,"cervix, uterine: 15.0",Cell line enhanced,NA,HAP1: 23.2;HL-60: 30.0;SCLC-21H: 43.5;SH-SY5Y: 31.4;THP-1: 18.1
DACT3,"DAPPER3, MGC15476, RRR1",ENSG00000197380,Dishevelled binding antagonist of beta catenin 3,19,46647612-46661138,Predicted intracellular proteins,Evidence at protein level,HPA043053,Approved,NA,Approved,Nucleoplasm<br>Vesicles,"Renal cancer:7.97e-8 (unfavourable), Urothelial cancer:6.66e-4 (unfavourable)",Mixed,Mixed,NA,NA,smooth muscle: 46.6,Cell line enhanced,NA,SH-SY5Y: 26.8
DAG1,"156DAG, A3a, AGRNR, DAG",ENSG00000173402,Dystroglycan 1,3,49468703-49535618,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB001960, CAB016353",Enhanced,NA,Supported,Vesicles,Renal cancer:2.59e-4 (favourable),Expressed in all,Expressed in all,NA,NA,placenta: 109.3,Expressed in all,NA,NA
DAP,NA,ENSG00000112977,Death associated protein,5,10679230-10761272,Predicted intracellular proteins,Evidence at protein level,HPA029456,Uncertain,NA,Approved,Nucleoplasm<br>Vesicles<br>Mitochondria,Liver cancer:2.15e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 156.6,Expressed in all,NA,NA
DAPK2,"DRP-1, MGC119312",ENSG00000035664,Death associated protein kinase 2,15,63907036-64072033,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA071581,NA,NA,Supported,Golgi apparatus<br>Vesicles,Lung cancer:5.63e-4 (favourable),Tissue enriched,Tissue enhanced,NA,thyroid gland: 49.1,lung: 29.9,Cell line enhanced,NA,HMC-1: 16.0
DBH,DBM,ENSG00000123454,Dopamine beta-hydroxylase,9,133636360-133659344,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA002130, HPA005960, HPA070789",Enhanced,NA,Enhanced,Endoplasmic reticulum<br>Vesicles,NA,Mixed,Tissue enriched,28,adrenal gland: 356.8,liver: 12.6,Cell line enriched,370,SH-SY5Y: 1924.2
DCAF15,"C19orf72, MGC99481",ENSG00000132017,DDB1 and CUL4 associated factor 15,19,13952492-13961449,Predicted intracellular proteins,Evidence at protein level,HPA068351,NA,NA,Approved,Vesicles<br>Mitochondria,"Renal cancer:1.34e-5 (unfavourable), Pancreatic cancer:7.97e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,testis: 59.9,Expressed in all,NA,NA
DCP1B,FLJ31638,ENSG00000151065,Decapping mRNA 1B,12,1946054-2004535,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA039709, HPA058778",Approved,NA,Supported,Vesicles<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,testis: 36.7,Mixed,NA,NA
DCUN1D4,KIAA0276,ENSG00000109184,Defective in cullin neddylation 1 domain containing 4,4,51843000-51916837,Predicted intracellular proteins,Evidence at protein level,"HPA036483, HPA036484",Uncertain,NA,Supported,Nucleus<br>Vesicles,NA,Expressed in all,Expressed in all,NA,NA,testis: 28.9,Expressed in all,NA,NA
DDX31,"FLJ13633, FLJ14578, FLJ23349, PPP1R25",ENSG00000125485,DEAD-box helicase 31,9,132592997-132670401,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA020891,NA,NA,Supported,Nucleoli<br>Golgi apparatus<br>Vesicles,Liver cancer:1.68e-7 (unfavourable),Expressed in all,Expressed in all,NA,NA,thyroid gland: 23.0,Expressed in all,NA,NA
DENND1A,"FAM31A, FLJ21129, KIAA1608",ENSG00000119522,DENN domain containing 1A,9,123379654-123930152,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA020481,NA,NA,Supported,Nucleoplasm<br>Vesicles<br>Cytosol,Renal cancer:4.11e-5 (favourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 21.8,Expressed in all,NA,NA
DENND3,KIAA0870,ENSG00000105339,DENN domain containing 3,8,141117278-141195808,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA024491, HPA041668",NA,Approved,Approved,Vesicles<br>Cytosol,NA,Expressed in all,Mixed,NA,NA,bone marrow: 68.5,Cell line enhanced,NA,HDLM-2: 60.7;HeLa: 52.8
DENND4C,"bA513M16.3, C9orf55, C9orf55B, FLJ20686, RAB10GEF",ENSG00000137145,DENN domain containing 4C,9,19230435-19373545,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA014917, HPA015096",Approved,NA,Supported,Golgi apparatus<br>Vesicles<br>Cytosol,Renal cancer:3.51e-5 (favourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 47.6,Expressed in all,NA,NA
DENND5A,"FLJ22354, FLJ33829, FLJ43455, KIAA1091, RAB6IP1",ENSG00000184014,DENN domain containing 5A,11,9138825-9265390,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA052923, HPA055009",Uncertain,NA,Approved,Golgi apparatus<br>Vesicles,"Renal cancer:1.14e-6 (unfavourable), Liver cancer:5.05e-6 (unfavourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 126.7,Mixed,NA,NA
DENND6A,"AFI1A, FAM116A, FLJ34969",ENSG00000174839,DENN domain containing 6A,3,57625457-57693089,Predicted intracellular proteins,Evidence at protein level,"HPA062618, HPA069725, HPA071711",Approved,NA,Supported,Vesicles,"Renal cancer:7.77e-6 (favourable), Liver cancer:6.36e-4 (unfavourable), Colorectal cancer:9.21e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,ovary: 25.6,Expressed in all,NA,NA
DERL3,"C22orf14, derlin-3, FLJ43842, IZP6, MGC71803",ENSG00000099958,Derlin 3,22,23834503-23839128,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB037234, HPA049306",Uncertain,NA,Uncertain,Vesicles,"Renal cancer:7.76e-13 (unfavourable), Cervical cancer:8.70e-5 (favourable), Head and neck cancer:8.01e-4 (favourable)",Expressed in all,Mixed,NA,NA,stomach: 39.0,Group enriched,5,Karpas-707: 58.5;RPMI-8226: 33.7;U-266/70: 66.4;U-698: 14.5
DESI2,"C1orf121, CGI-146, FAM152A, FLJ21998, PNAS-4, PPPDE1",ENSG00000121644,Desumoylating isopeptidase 2,1,244652935-244709033,Predicted intracellular proteins,Evidence at protein level,HPA049950,NA,NA,Approved,Vesicles,Renal cancer:4.25e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,testis: 95.0,Expressed in all,NA,NA
DGKA,"DAGK, DAGK1, DGK-alpha",ENSG00000065357,Diacylglycerol kinase alpha,12,55927319-55954027,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA041645, HPA045462",Approved,NA,Approved,Nucleoplasm<br>Vesicles<br>Mitochondria,Renal cancer:1.66e-5 (unfavourable),Expressed in all,Mixed,NA,NA,skin: 97.4,Cell line enhanced,NA,HBEC3-KT: 93.1;hTERT-HME1: 102.8
DHRS12,"FLJ13639, SDR40C1",ENSG00000102796,Dehydrogenase/reductase 12,13,51767993-51804157,Predicted intracellular proteins,Evidence at protein level,"CAB034238, HPA057028, HPA058315",Uncertain,NA,Supported,Nucleoplasm<br>Golgi apparatus<br>Vesicles,"Renal cancer:2.22e-16 (favourable), Breast cancer:1.41e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,epididymis: 22.0,Mixed,NA,NA
DHRS13,"MGC23280, SDR7C5",ENSG00000167536,Dehydrogenase/reductase 13,17,28897781-28903071,Predicted intracellular proteins,Evidence at protein level,HPA022991,Uncertain,NA,Approved,Vesicles,Liver cancer:3.39e-6 (unfavourable),Expressed in all,Mixed,NA,NA,bone marrow: 25.2,Mixed,NA,NA
DHRS4,"FLJ11008, humNRDR, SCAD-SRL, SDR-SRL, SDR25C2",ENSG00000157326,Dehydrogenase/reductase 4,14,23953586-23969279,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA023972,Uncertain,NA,Approved,Nuclear membrane<br>Vesicles,Renal cancer:4.55e-6 (favourable),Expressed in all,Expressed in all,NA,NA,kidney: 149.0,Mixed,NA,NA
DHRS4L2,SDR25C3,ENSG00000187630,Dehydrogenase/reductase 4 like 2,14,23969874-24006408,Predicted intracellular proteins,Evidence at protein level,HPA023972,Uncertain,NA,Uncertain,Nuclear membrane<br>Vesicles,Ovarian cancer:3.21e-4 (favourable),Expressed in all,Expressed in all,NA,NA,kidney: 123.6,Mixed,NA,NA
DIAPH2,"DIA, DIA2, POF, POF2",ENSG00000147202,Diaphanous related formin 2,X,96684663-97604997,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA005647, CAB015461, CAB068183, CAB068184",Enhanced,NA,Supported,Nucleoli<br>Endoplasmic reticulum<br>Vesicles,"Endometrial cancer:2.16e-5 (unfavourable), Pancreatic cancer:2.12e-4 (unfavourable), Renal cancer:3.90e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,placenta: 17.8,Mixed,NA,NA
DIDO1,"BYE1, C20orf158, DATF1, DIO-1, DIO1, dJ885L7.8, FLJ11265, KIAA0333",ENSG00000101191,Death inducer-obliterator 1,20,62877738-62937952,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB004374, HPA049904",Supported,NA,Approved,Nucleoplasm<br>Vesicles<br>Cytosol,"Pancreatic cancer:3.88e-4 (favourable), Head and neck cancer:5.13e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,fallopian tube: 48.2,Expressed in all,NA,NA
DIP2C,KIAA0934,ENSG00000151240,Disco interacting protein 2 homolog C,10,274190-689668,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA030264, HPA059325",Enhanced,NA,Approved,Nucleoplasm<br>Vesicles<br>Cytosol,"Renal cancer:2.46e-6 (favourable), Endometrial cancer:8.92e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,cerebral cortex: 23.4,Cell line enhanced,NA,U-2197: 30.9
DIRC2,"FLJ14784, RCC4",ENSG00000138463,Disrupted in renal carcinoma 2,3,122794795-122881139,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA072579,NA,NA,Supported,Vesicles,"Renal cancer:8.81e-11 (favourable), Pancreatic cancer:5.81e-5 (unfavourable), Liver cancer:7.48e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 16.2,Mixed,NA,NA
DISP2,"C15orf36, DISPB, HsT16908, KIAA1742, LINC00594",ENSG00000140323,Dispatched RND transporter family member 2,15,40358235-40378639,Predicted membrane proteins,Evidence at protein level,HPA059903,Uncertain,NA,Approved,Nucleoplasm<br>Vesicles,NA,Mixed,Tissue enhanced,NA,cerebral cortex: 7.4,thyroid gland: 1.8,Group enriched,5,HaCaT: 5.9;SCLC-21H: 15.8
DKK3,"REIC, RIG",ENSG00000050165,Dickkopf WNT signaling pathway inhibitor 3,11,11963106-12009769,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA011868, CAB024949",Approved,NA,Approved,Vesicles,Renal cancer:6.31e-5 (unfavourable),Expressed in all,Tissue enhanced,NA,cerebral cortex: 373.5;heart muscle: 805.5,"cervix, uterine: 138.8",Cell line enhanced,NA,BJ: 355.1;BJ hTERT+: 524.6;fHDF/TERT166: 475.8;TIME: 285.3
DKKL1,"CT34, SGY-1",ENSG00000104901,Dickkopf like acrosomal protein 1,19,49361783-49375116,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB025410, HPA047194",Enhanced,NA,Approved,Vesicles,NA,Tissue enhanced,Tissue enriched,149,testis: 265.5,"endometrium,fallopian tube: 1.7",Cell line enhanced,NA,AF22: 5.0;AN3-CA: 8.9
DLC1,"ARHGAP7, DLC-1, HP, p122-RhoGAP, STARD12",ENSG00000164741,DLC1 Rho GTPase activating protein,8,13083361-13604610,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA017753,Uncertain,NA,Approved,Nucleoplasm<br>Golgi apparatus<br>Vesicles,Endometrial cancer:1.11e-4 (favourable),Expressed in all,Expressed in all,NA,NA,lung: 78.7,Cell line enhanced,NA,U-2197: 120.6
DLG4,"PSD-95, PSD95, SAP-90, SAP90",ENSG00000132535,Discs large MAGUK scaffold protein 4,17,7189890-7219702,"Predicted intracellular proteins, Predicted secreted proteins, Transporters",Evidence at protein level,"CAB001999, CAB002000, HPA010122",Enhanced,NA,Approved,Vesicles,"Pancreatic cancer:8.82e-6 (favourable), Renal cancer:1.70e-4 (unfavourable)",Expressed in all,Tissue enriched,6,cerebral cortex: 178.6,endometrium: 28.9,Cell line enhanced,NA,HMC-1: 57.4
DMPK,"DM, DM1, DM1PK, DMK, MDPK, MT-PK",ENSG00000104936,Dystrophia myotonica protein kinase,19,45769717-45782552,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA007164, HPA008905",Enhanced,NA,Approved,Vesicles<br>Cytosol,Pancreatic cancer:9.39e-5 (favourable),Expressed in all,Expressed in all,NA,NA,smooth muscle: 97.3,Cell line enhanced,NA,RH-30: 99.0
DMRTA1,NA,ENSG00000176399,DMRT like family A1,9,22446841-22455740,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA044764, HPA062253",Uncertain,NA,Approved,Vesicles,Renal cancer:1.14e-6 (favourable),Mixed,Tissue enhanced,NA,parathyroid gland: 6.5,liver: 4.3,Cell line enhanced,NA,BJ hTERT+: 5.1
DNAJC13,"KIAA0678, RME8",ENSG00000138246,DnaJ heat shock protein family (Hsp40) member C13,3,132417526-132539032,Predicted membrane proteins,Evidence at protein level,"HPA036923, HPA036924",Approved,NA,Supported,Vesicles<br>Cytosol,"Liver cancer:7.49e-4 (unfavourable), Pancreatic cancer:8.36e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,thyroid gland: 28.9,Expressed in all,NA,NA
DNAJC16,KIAA0962,ENSG00000116138,DnaJ heat shock protein family (Hsp40) member C16,1,15526813-15592379,Predicted membrane proteins,Evidence at protein level,HPA043643,Approved,NA,Approved,Vesicles,"Colorectal cancer:6.77e-4 (favourable), Renal cancer:7.24e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 16.8,Expressed in all,NA,NA
DNAJC21,"DNAJA5, GS3, JJJ1",ENSG00000168724,DnaJ heat shock protein family (Hsp40) member C21,5,34929593-34958964,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA040789, HPA049208",Approved,NA,Approved,Vesicles,Liver cancer:2.36e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,testis: 101.6,Expressed in all,NA,NA
